"标题","名称","識別碼","發行日期","長度","導演","製作商","發行商","系列","類別","演員","详情页"
"OFJE-657 顔だけでもヌケるのにおっぱいがスッゴイ！！宇宙最高のチ○ポ丸呑み爆乳パイズリ90挟射ベスト","OFJE-657 顔だけでもヌケるのにおっぱいがスッゴイ！！宇宙最高のチ○ポ丸呑み爆乳パイズリ90挟射ベスト","OFJE-657","2026-09-04","477分鐘","","エスワン ナンバーワンスタイル","S1 NO.1 STYLE","S1 GIRLS COLLECTION","苗條、乳交、戀乳癖、姐姐、4小時以上作品、高畫質、巨乳、DMM獨家","多人","https://www.javbus.com/OFJE-657"
"OFJE-654 S1史上最高の女体が汚いおっさんにねっちょり舐め犯●れる 熟練ベロ技に堕ちたS1美女たち40本番7時間","OFJE-654 S1史上最高の女体が汚いおっさんにねっちょり舐め犯●れる 熟練ベロ技に堕ちたS1美女たち40本番7時間","OFJE-654","2026-08-21","417分鐘","","エスワン ナンバーワンスタイル","S1 NO.1 STYLE","S1 GIRLS COLLECTION","花癡、凌辱、4小時以上作品、高畫質、キス・接吻、巨乳、アクメ・オーガズム、DMM獨家","多人","https://www.javbus.com/OFJE-654"
"OFJE-646 むっちり巨乳…たまらねぇ… エスワン美乳女優の最高おっぱい揉みっぱなし主観性交8時間","OFJE-646 むっちり巨乳…たまらねぇ… エスワン美乳女優の最高おっぱい揉みっぱなし主観性交8時間","OFJE-646","2026-07-10","474分鐘","","エスワン ナンバーワンスタイル","S1 NO.1 STYLE","S1 GIRLS COLLECTION","乳交、合集、戀乳癖、4小時以上作品、主觀視角、高畫質、巨乳、DMM獨家","多人","https://www.javbus.com/OFJE-646"
"OFJE-612 誰もが抱きたかったあのS1女優たちをまとめて相手しちゃう最高美女25人とハーレム性交","OFJE-612 誰もが抱きたかったあのS1女優たちをまとめて相手しちゃう最高美女25人とハーレム性交","OFJE-612","2026-06-26","481分鐘","","エスワン ナンバーワンスタイル","S1 NO.1 STYLE","S1 GIRLS COLLECTION","乳交、多P、4小時以上作品、高畫質、ハーレム、巨乳、アクメ・オーガズム、DMM獨家","多人","https://www.javbus.com/OFJE-612"
"OFJE-632 S1美女の顔がトロけて 神ボディ爆乳が暴れる！ ‘イキ美顔＆乳揺れ’ 同時堪能できる 男の理想ピストン","OFJE-632 S1美女の顔がトロけて 神ボディ爆乳が暴れる！ ‘イキ美顔＆乳揺れ’ 同時堪能できる 男の理想ピストン","OFJE-632","2026-05-21","441分鐘","","エスワン ナンバーワンスタイル","S1 NO.1 STYLE","S1 GIRLS COLLECTION","戀乳癖、花癡、女上位、4小時以上作品、高畫質、巨乳、アクメ・オーガズム、DMM獨家","多人","https://www.javbus.com/OFJE-632"
"OFJE-633 S1総選挙2026 ユーザーSNS投票で選ばれた 「一番ヌケるAV企画」 選抜50本番 ～コアユーザーのみが知る推薦コメント付き～","OFJE-633 S1総選挙2026 ユーザーSNS投票で選ばれた 「一番ヌケるAV企画」 選抜50本番 ～コアユーザーのみが知る推薦コメント付き～","OFJE-633","2026-05-21","481分鐘","","エスワン ナンバーワンスタイル","S1 NO.1 STYLE","S1 GIRLS COLLECTION","企畫、口交、合集、4小時以上作品、高畫質、キス・接吻、巨乳、DMM獨家","多人","https://www.javbus.com/OFJE-633"
"OFJE-630 AIが抽出した究極美尻女優のチラリズム映像 日本一シコれるパンチラAV 8時間","OFJE-630 AIが抽出した究極美尻女優のチラリズム映像 日本一シコれるパンチラAV 8時間","OFJE-630","2026-05-07","468分鐘","","エスワン ナンバーワンスタイル","S1 NO.1 STYLE","S1 GIRLS COLLECTION","合集、屁股、戀腿癖、制服、4小時以上作品、高畫質、內衣、DMM獨家","多人","https://www.javbus.com/OFJE-630"
"OFJE-631 顔は清純、脱いだら凶器！暴力的にエロいギャップボディと80SEX「え、この顔でこの体！？」予想外の美体を持つ選ばれし女達","OFJE-631 顔は清純、脱いだら凶器！暴力的にエロいギャップボディと80SEX「え、この顔でこの体！？」予想外の美体を持つ選ばれし女達","OFJE-631","2026-05-07","481分鐘","","エスワン ナンバーワンスタイル","S1 NO.1 STYLE","S1 GIRLS COLLECTION","苗條、偶像藝人、花癡、美少女、4小時以上作品、高畫質、巨乳、DMM獨家","多人","https://www.javbus.com/OFJE-631"
"OFJE-626 おとなしそうな巨乳少女は発情男に迫られ無理やりイ・カ・さ・れ・る！70本番8時間","OFJE-626 おとなしそうな巨乳少女は発情男に迫られ無理やりイ・カ・さ・れ・る！70本番8時間","OFJE-626","2026-04-23","481分鐘","","エスワン ナンバーワンスタイル","S1 NO.1 STYLE","S1 GIRLS COLLECTION","合集、戀乳癖、4小時以上作品、高畫質、巨乳、アクメ・オーガズム、M女、DMM獨家","多人","https://www.javbus.com/OFJE-626"
"OFJE-709 最高美乳を持つ女優のベスポジ正面おっぱい！女体と対面アングルで爆乳前面ダイナミック超堪能！フロント乳揺れ激ピストンラッシュ100本番8時間","OFJE-709 最高美乳を持つ女優のベスポジ正面おっぱい！女体と対面アングルで爆乳前面ダイナミック超堪能！フロント乳揺れ激ピストンラッシュ100本番8時間","OFJE-709","2026-04-23","481分鐘","","エスワン ナンバーワンスタイル","S1 NO.1 STYLE","S1 GIRLS COLLECTION","戀乳癖、女上位、4小時以上作品、高畫質、超乳、巨乳、バック、DMM獨家","多人","https://www.javbus.com/OFJE-709"
