标题,名称,識別碼,發行日期,長度,導演,製作商,發行商,系列,類別,演員,详情页
JUMS-186 美熟女と少年が最高潮の絶頂に溺れる年の差セックス32人450分,JUMS-186 美熟女と少年が最高潮の絶頂に溺れる年の差セックス32人450分,JUMS-186,2026-09-04,453分鐘,,マドンナ,Madonna,美熟女と少年が最高潮に燃え上がる年の差セックス,成熟的女人、合集、已婚婦女、通姦、4小時以上作品、高畫質、DMM獨家,多人,https://www.javbus.com/JUMS-186
NXGS-025 制服パンストの熟女OL,NXGS-025 制服パンストの熟女OL,NXGS-025,2026-08-25,120分鐘,,ネクスト,ネクストグループ,,成熟的女人、OL、連褲襪、制服、中出、高畫質,多人,https://www.javbus.com/NXGS-025
BDSR-51204 この濃密さが、最高の誘惑。,BDSR-51204 この濃密さが、最高の誘惑。,BDSR-51204,2026-08-22,59分鐘,メカテス武田,いきなりエロざんまい,いきなりエロざんまい,漆黒の絨毯,其他戀物癖、已婚婦女、中出、高畫質、出軌、巨乳,多人,https://www.javbus.com/BDSR-51204
UMSO-653 突き出すお尻に激ピストン！バック三昧！49人VOL.04,UMSO-653 突き出すお尻に激ピストン！バック三昧！49人VOL.04,UMSO-653,2026-08-22,237分鐘,,ケイ・エム・プロデュース,UMANAMI,突き出すお尻に激ピストン！バック三昧！,其他戀物癖、合集、屁股、高畫質、巨尻、バック、DMM獨家,多人,https://www.javbus.com/UMSO-653
JUR-834 ハプニングバー人妻NTR 「あなたのためよ…」と言っていた妻がいつしか群がる男たちに夢中になっていた。（JUR-834）,JUR-834 ハプニングバー人妻NTR 「あなたのためよ…」と言っていた妻がいつしか群がる男たちに夢中になっていた。（JUR-834）,JUR-834,2026-08-21,115分鐘,富丈太郎,マドンナ,Madonna,ハプニングバーNTR,成熟的女人、濫交、已婚婦女、中出、高畫質、出軌、4K、DMM獨家,多人,https://www.javbus.com/JUR-834
JUMS-184 超絶シコいケツ穴モロ見え！マドンナ人妻熟女のオマ○コとアナル二穴同時に堪能できる怒涛の《眼福アングル》ガン突きSEX106本番 8時間BEST！,JUMS-184 超絶シコいケツ穴モロ見え！マドンナ人妻熟女のオマ○コとアナル二穴同時に堪能できる怒涛の《眼福アングル》ガン突きSEX106本番 8時間BEST！,JUMS-184,2026-08-21,481分鐘,,マドンナ,Madonna,,成熟的女人、合集、已婚婦女、4小時以上作品、高畫質、巨尻、DMM獨家、肛交,多人,https://www.javbus.com/JUMS-184
JUMS-180 母の友人 永久保存版16時間～年下男を狂わせる濃密性交 全40本番～,JUMS-180 母の友人 永久保存版16時間～年下男を狂わせる濃密性交 全40本番～,JUMS-180,2026-08-07,961分鐘,,マドンナ,Madonna,母の友人,成熟的女人、合集、已婚婦女、高畫質、戲劇、16時間以上作品、DMM獨家,多人,https://www.javbus.com/JUMS-180
SAN-482 美しすぎる伝説のレジェンド女優 北条麻妃＆澤村レイコ 8時間20分2枚組,SAN-482 美しすぎる伝説のレジェンド女優 北条麻妃＆澤村レイコ 8時間20分2枚組,SAN-482,2026-07-29,502分鐘,,マザー,マザー（マザー）,,已婚婦女、中出、4小時以上作品、高畫質、女優ベスト・総集編,多人,https://www.javbus.com/SAN-482
JUR-789 親離れできない引きこもりニートの僕を社会復帰させようと 笑顔で性処理してくれる叔母・麻妃さん 優しく手ほどきしてくれる彼女を手放したくなくて 僕は何度も孕ませ中出しをした 北条麻妃,JUR-789 親離れできない引きこもりニートの僕を社会復帰させようと 笑顔で性処理してくれる叔母・麻妃さん 優しく手ほどきしてくれる彼女を手放したくなくて 僕は何度も孕ませ中出しをした 北条麻妃,JUR-789,2026-07-24,119分鐘,富丈太郎,マドンナ,Madonna,,成熟的女人、苗條、中出、高畫質、處男、デカチン・巨根、單體作品、4K、DMM獨家,北条麻妃,https://www.javbus.com/JUR-789
JUMS-171 3十人3十色の人妻があなたのオナニーライフに彩りを与えるー。 Madonna美熟女SEXカレンダー2026 15時間,JUMS-171 3十人3十色の人妻があなたのオナニーライフに彩りを与えるー。 Madonna美熟女SEXカレンダー2026 15時間,JUMS-171,2026-07-24,927分鐘,,マドンナ,Madonna,Madonna美熟女SEXカレンダー,成熟的女人、合集、已婚婦女、4小時以上作品、高畫質、戲劇、DMM獨家,多人,https://www.javbus.com/JUMS-171
