"标题","名称","識別碼","發行日期","長度","導演","製作商","發行商","系列","類別","演員","详情页"
"052826-001 レジェンドAV怪獣の神髄","052826-001 レジェンドAV怪獣の神髄","052826-001","2026-05-28","58分鐘","","カリビアンコム","","","內射、自慰、手淫、舔陰、口內射精","北条麻妃","https://www.javbus.com/052826-001"
"040225-001 早抜き 北条麻妃BEST","040225-001 早抜き 北条麻妃BEST","040225-001","2025-04-02","60分鐘","","カリビアンコム","","早抜きBEST","痴女、美乳、內射、自慰、手淫、舔陰、苗條、射在外陰、顏射、淫語、美腿、美臀","北条麻妃","https://www.javbus.com/040225-001"
"070623-001 ヌードデッサンモデルが天職です 〜ありえない要求の上をイく美魔女モデル〜","070623-001 ヌードデッサンモデルが天職です 〜ありえない要求の上をイく美魔女モデル〜","070623-001","2023-07-06","58分鐘","","カリビアンコム","","","痴女、美乳、內射、巨乳、手淫、舔陰、苗條、口內射精、射在外陰、淫語、美腿、美臀","北条麻妃","https://www.javbus.com/070623-001"
"HEYZO-3025 性感マッサージで快感！～北条麻妃の場合～Vol.2","HEYZO-3025 性感マッサージで快感！～北条麻妃の場合～Vol.2","HEYZO-3025","2023-04-06","25分鐘","","HEYZO","","","巨乳、苗條、美腿、美白、美乳、熟女、手淫、指法、乳交、按摩","北条麻妃","https://www.javbus.com/HEYZO-3025"
"010523-001 着物美女アンソロジー2","010523-001 着物美女アンソロジー2","010523-001","2023-01-05","151分鐘","","カリビアンコム","","アンソロジー","美乳、內射、亂交、辣妹、無毛、69、舔陰、苗條、美腿、美臀、浴衣和服","多人","https://www.javbus.com/010523-001"
"010221-001 マンコ図鑑 〜これがカリビの醍醐味だ！2020蔵出しマンコ〜","010221-001 マンコ図鑑 〜これがカリビの醍醐味だ！2020蔵出しマンコ〜","010221-001","2021-01-02","131分鐘","","カリビアンコム","","マンコ図鑑","痴女、美乳、巨乳、無毛、自慰、振動、鴨嘴、舔陰、苗條、美腿、美臀、微乳","多人","https://www.javbus.com/010221-001"
"HEYZO-2399 性感マッサージで快感！～北条麻妃の場合～","HEYZO-2399 性感マッサージで快感！～北条麻妃の場合～","HEYZO-2399","2020-11-19","17分鐘","","HEYZO","","","熟女、手淫、口交、口內射精、按摩","北条麻妃","https://www.javbus.com/HEYZO-2399"
"062520-001 青姦アンソロジー","062520-001 青姦アンソロジー","062520-001","2020-06-25","150分鐘","","カリビアンコム","","","美乳、內射、亂交、巨乳、露出、振動、舔陰、苗條、美腿、美臀、浴衣和服、野外","多人","https://www.javbus.com/062520-001"
"032620-001 THE 未公開 〜尻コキ・尻コキ・尻コキ〜","032620-001 THE 未公開 〜尻コキ・尻コキ・尻コキ〜","032620-001","2020-03-26","65分鐘","","カリビアンコム","","THE 未公開","美乳、手淫、美腿、美臀、白領","多人","https://www.javbus.com/032620-001"
"011820-001 中出しいただくまで男の乳首を離しません4","011820-001 中出しいただくまで男の乳首を離しません4","011820-001","2020-01-18","63分鐘","","カリビアンコム","","","痴女、美乳、內射、巨乳、乳交、手淫、舔陰、苗條、淫語、美腿、美臀","北条麻妃","https://www.javbus.com/011820-001"
"HEYZO-2037 顔射でどろべちゃ！ぶっかけ祭り！！Vol.3","HEYZO-2037 顔射でどろべちゃ！ぶっかけ祭り！！Vol.3","HEYZO-2037","2019-07-17","65分鐘","","HEYZO","","","苗條、熟女、美白、內射、指法、口交、手淫、舔陰、騎乘位、自慰、後入、69、射在外陰、顏射、乳交、痴女","北条麻妃","https://www.javbus.com/HEYZO-2037"
"SSDV-36 S Model SSDV 36 ぶっかけ祭り顔射でどろべちゃ！ : 北条麻妃","SSDV-36 S Model SSDV 36 ぶっかけ祭り顔射でどろべちゃ！ : 北条麻妃","SSDV-36","2019-07-16","125分鐘","","スーパーモデルメディア","","SModelSSDV","顏射、美穴、口交、美乳、美臀、內射、美人、巨乳、人妻、S級女優、美腿、輪姦、推薦作品、舔蛋蛋、美肌、自慰","北条麻妃","https://www.javbus.com/SSDV-36"
"060419-934 隣の綺麗な奥様とHしちゃった…","060419-934 隣の綺麗な奥様とHしちゃった…","060419-934","2019-06-04","61分鐘","","カリビアンコム","","","痴女、美乳、內射、手淫、69、舔陰、苗條、口內射精、淫語、美腿、美臀","北条麻妃","https://www.javbus.com/060419-934"
"DRC-178 CATCHEYE Vol.177 おしゃぶり大好き！痴熟女麻妃 : 北条麻妃","DRC-178 CATCHEYE Vol.177 おしゃぶり大好き！痴熟女麻妃 : 北条麻妃","DRC-178","2019-04-16","130分鐘","","CATCHEYE","","","口內射精、口交、美乳、痴女、美人、騎乘位、推薦作品、電動按摩器、人妻、苗條、後入、美肌","北条麻妃","https://www.javbus.com/DRC-178"
"HEY-119 他人妻味 : 北条麻妃","HEY-119 他人妻味 : 北条麻妃","HEY-119","2019-03-01","120分鐘","","HEYZO","","他人妻味","後入、美穴、口交、美乳、美臀、痴女、內射、美人、騎乘位、巨乳、人妻、S級女優、推薦作品、苗條、美肌","北条麻妃","https://www.javbus.com/HEY-119"
"RED-198 レッドホットフェティッシュコレクション Gold Fingers Vol.3 : 北条麻妃, 鈴木さとみ, 綾瀬ゆい, 希咲あや, 総勢25人","RED-198 レッドホットフェティッシュコレクション Gold Fingers Vol.3 : 北条麻妃, 鈴木さとみ, 綾瀬ゆい, 希咲あや, 総勢25人","RED-198","2019-02-19","244分鐘","","東京熱","","SkyHigh","","多人","https://www.javbus.com/RED-198"
"RED-193 レッドホットフェティッシュコレクション 中出し120連発 4 : 波多野結衣, 愛乃なみ, 夢実あくび, 他多数","RED-193 レッドホットフェティッシュコレクション 中出し120連発 4 : 波多野結衣, 愛乃なみ, 夢実あくび, 他多数","RED-193","2019-02-05","62分鐘","","東京熱","","SkyHigh","","多人","https://www.javbus.com/RED-193"
