标题,名称,識別碼,發行日期,長度,導演,製作商,發行商,系列,類別,演員,详情页
GML-563 電撃引退 ファイナル泡吹きアクメ 橘エレナ 前編,GML-563 電撃引退 ファイナル泡吹きアクメ 橘エレナ 前編,GML-563,2025-07-12,56分鐘,,グローバルメディアエンタテインメント,グローバルメディアライト,電撃引退,成熟的女人、SM、紧缚、已婚婦女、凌辱、高畫質、單體作品、DMM獨家,橘エレナ,https://www.javbus.com/GML-563
GML-564 電撃引退 ファイナル泡吹きアクメ 橘エレナ 後編,GML-564 電撃引退 ファイナル泡吹きアクメ 橘エレナ 後編,GML-564,2025-07-12,61分鐘,,グローバルメディアエンタテインメント,グローバルメディアライト,電撃引退,成熟的女人、SM、紧缚、已婚婦女、凌辱、高畫質、單體作品、DMM獨家,橘エレナ,https://www.javbus.com/GML-564
GML-383 背徳相姦遊戯 ふたりの嫁 ＃01 パート2 橘エレナ,GML-383 背徳相姦遊戯 ふたりの嫁 ＃01 パート2 橘エレナ,GML-383,2024-09-21,38分鐘,,グローバルメディアエンタテインメント,グローバルメディアライト,背徳相姦遊戯 ふたりの嫁,成熟的女人、業餘、亂倫、已婚婦女、中出、高畫質、單體作品、DMM獨家,橘エレナ,https://www.javbus.com/GML-383
NYH-247 隣の巨乳妻・無防備な誘惑/橘エレナ,NYH-247 隣の巨乳妻・無防備な誘惑/橘エレナ,NYH-247,2022-05-30,30分鐘,,ディレクターズ,ニャンニャンハウス,隣の人妻（ディレクターズ）,已婚婦女、高畫質、內衣、巨乳、單體作品,橘エレナ,https://www.javbus.com/NYH-247
J-99055 泡吹きアクメ 橘エレナ 緊縛,J-99055 泡吹きアクメ 橘エレナ 緊縛,J-99055,2020-11-12,17分鐘,,JUKUJO99,JUKUJO99,泡吹きアクメ,成熟的女人、SM、紧缚、高畫質、巨乳、單體作品、DMM獨家,橘エレナ,https://www.javbus.com/J-99055
RLOJ-021 美熟女 橘エレナ ベスト 4時間,RLOJ-021 美熟女 橘エレナ ベスト 4時間,RLOJ-021,2014-01-30,240分鐘,,マニアゼロ,乱熟（乱熟）,,成熟的女人、合集、4小時以上作品、巨乳、單體作品,橘エレナ,https://www.javbus.com/RLOJ-021
JUSD-407 丸ごと！橘エレナBEST8時間,JUSD-407 丸ごと！橘エレナBEST8時間,JUSD-407,2012-04-19,479分鐘,,マドンナ,Madonna,丸ごと！○○8時間,蕩婦、成熟的女人、合集、已婚婦女、數位馬賽克、4小時以上作品、巨乳、單體作品、DMM獨家,橘エレナ,https://www.javbus.com/JUSD-407
OBD-33 実録！近親相姦 僕のお母さんはドSなんです！ 橘エレナ,OBD-33 実録！近親相姦 僕のお母さんはドSなんです！ 橘エレナ,OBD-33,2012-03-21,95分鐘,木村浩之,ルビー,RUBY,実録！近親相姦,成熟的女人、母親、亂倫、中出、單體作品,橘エレナ,https://www.javbus.com/OBD-33
BIJ-006 声デカッ！絶叫淫語淫乱女 橘エレナ,BIJ-006 声デカッ！絶叫淫語淫乱女 橘エレナ,BIJ-006,2011-08-08,108分鐘,,虎堂,葡萄館,,成熟的女人、其他戀物癖、淫語、凌辱、單體作品,橘エレナ,https://www.javbus.com/BIJ-006
MBYD-127 橘エレナ COMPLETE BEST 4時間,MBYD-127 橘エレナ COMPLETE BEST 4時間,MBYD-127,2011-08-05,239分鐘,,溜池ゴロー,溜池ゴロー,COMPLETEBEST,成熟的女人、合集、數位馬賽克、單體作品、DMM獨家,橘エレナ,https://www.javbus.com/MBYD-127
EMAB-010 三十路、橘エレナ DX 4時間 すべらない11シーン,EMAB-010 三十路、橘エレナ DX 4時間 すべらない11シーン,EMAB-010,2011-04-24,241分鐘,,DX/エマニエル,DX（エマニエル）,○十路○○DXすべらない○シーン,成熟的女人、乳交、女上位、巨乳、單體作品、打手槍,橘エレナ,https://www.javbus.com/EMAB-010
MDYD-584 院内羞恥に溺れる看護師妻 橘エレナ,MDYD-584 院内羞恥に溺れる看護師妻 橘エレナ,MDYD-584,2010-12-10,118分鐘,溜池ゴロー,溜池ゴロー,溜池ゴロー,,成熟的女人、护士、已婚婦女、多P、數位馬賽克、DVD多士爐、高畫質、單體作品、DMM獨家,橘エレナ,https://www.javbus.com/MDYD-584
